V1.x	V2.x	V3	V4.x	V5.x	V6.x	V7.x	V8.x	V9.x	V1.y	V2.y	V4.y	V5.y	V6.y	V7.y	V8.y	V9.y	V10	V11	V12	V13	V14	V15	V16	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Gene.Ontology..molecular.function.	Gene.Ontology..GO.	Gene.Ontology..biological.process.	Gene.Ontology..cellular.component.	Gene.Ontology.IDs	Interacts.with	EC.number	Reactome	UniPathway	InterPro
ENA	HBXI01003061	HBXI01003061.1	732.660260578845	-0.294279442303378	0.0799957481380238	-3.67868854474155	2.34436348259626e-4	0.0290736863650831	ENA	HBXI01003061	sp	A1Z3X3	GET4_ORYLA	59.783	276	106	2	52	879	17	287	2.98e-100	311	reviewed	GET4_ORYLA	Golgi to ER traffic protein 4 homolog (Conserved edge expressed protein)	get4 cee	Oryzias latipes (Japanese rice fish) (Japanese killifish)	323		BAT3 complex [GO:0071818]; cytosol [GO:0005829]; protein insertion into ER membrane [GO:0045048]; tail-anchored membrane protein insertion into ER membrane [GO:0071816]	protein insertion into ER membrane [GO:0045048]; tail-anchored membrane protein insertion into ER membrane [GO:0071816]	BAT3 complex [GO:0071818]; cytosol [GO:0005829]	GO:0005829; GO:0045048; GO:0071816; GO:0071818					IPR007317;IPR011990;
ENA	HBXI01003226	HBXI01003226.1	11.47263038847	2.0270429524162	0.589788189359271	3.4368998718308	5.88413082570198e-4	0.0457385595188299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENA	HBXI01003241	HBXI01003241.1	216.127209022022	-0.643054351756292	0.170448713688284	-3.77271460629681	1.61480964771694e-4	0.0242161823416703	ENA	HBXI01003241	sp	Q5VYS8	TUT7_HUMAN	54.054	407	184	3	2234	3448	956	1361	4.3000000000000003e-126	440	reviewed	TUT7_HUMAN	Terminal uridylyltransferase 7 (TUTase 7) (EC 2.7.7.52) (Zinc finger CCHC domain-containing protein 6)	TUT7 HS2 KIAA1711 ZCCHC6	Homo sapiens (Human)	1495	miRNA binding [GO:0035198]; nucleotidyltransferase activity [GO:0016779]; RNA binding [GO:0003723]; RNA uridylyltransferase activity [GO:0050265]; uridylyltransferase activity [GO:0070569]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; miRNA binding [GO:0035198]; nucleotidyltransferase activity [GO:0016779]; RNA binding [GO:0003723]; RNA uridylyltransferase activity [GO:0050265]; uridylyltransferase activity [GO:0070569]; zinc ion binding [GO:0008270]; miRNA metabolic process [GO:0010586]; negative regulation of transposition, RNA-mediated [GO:0010526]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; oocyte maturation [GO:0001556]; polyuridylation-dependent mRNA catabolic process [GO:1990074]; pre-miRNA processing [GO:0031054]; RNA 3' uridylation [GO:0071076]; RNA 3'-end processing [GO:0031123]	miRNA metabolic process [GO:0010586]; negative regulation of transposition, RNA-mediated [GO:0010526]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; oocyte maturation [GO:0001556]; polyuridylation-dependent mRNA catabolic process [GO:1990074]; pre-miRNA processing [GO:0031054]; RNA 3' uridylation [GO:0071076]; RNA 3'-end processing [GO:0031123]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]	GO:0000289; GO:0001556; GO:0003723; GO:0005654; GO:0005737; GO:0005829; GO:0008270; GO:0010526; GO:0010586; GO:0016779; GO:0031054; GO:0031123; GO:0035198; GO:0050265; GO:0070569; GO:0071076; GO:1990074	P02489; P14136; O14908-2; P28799; P04792; Q8WXH2; O60333-2; Q92876; P02545; P19404; P07196; P35240; Q96CV9; P16284; P60891; Q7Z699; P08670; O76024	2.7.7.52	R-HSA-429947;		IPR003604;IPR043519;IPR002058;IPR045100;IPR001878;IPR036875;
ENA	HBXI01003241	HBXI01003241.1	216.127209022022	-0.643054351756292	0.170448713688284	-3.77271460629681	1.61480964771694e-4	0.0242161823416703	ENA	HBXI01003241	sp	Q5VYS8	TUT7_HUMAN	28.713	303	209	1	602	1489	170	472	1.2e-28	130	reviewed	TUT7_HUMAN	Terminal uridylyltransferase 7 (TUTase 7) (EC 2.7.7.52) (Zinc finger CCHC domain-containing protein 6)	TUT7 HS2 KIAA1711 ZCCHC6	Homo sapiens (Human)	1495	miRNA binding [GO:0035198]; nucleotidyltransferase activity [GO:0016779]; RNA binding [GO:0003723]; RNA uridylyltransferase activity [GO:0050265]; uridylyltransferase activity [GO:0070569]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; miRNA binding [GO:0035198]; nucleotidyltransferase activity [GO:0016779]; RNA binding [GO:0003723]; RNA uridylyltransferase activity [GO:0050265]; uridylyltransferase activity [GO:0070569]; zinc ion binding [GO:0008270]; miRNA metabolic process [GO:0010586]; negative regulation of transposition, RNA-mediated [GO:0010526]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; oocyte maturation [GO:0001556]; polyuridylation-dependent mRNA catabolic process [GO:1990074]; pre-miRNA processing [GO:0031054]; RNA 3' uridylation [GO:0071076]; RNA 3'-end processing [GO:0031123]	miRNA metabolic process [GO:0010586]; negative regulation of transposition, RNA-mediated [GO:0010526]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; oocyte maturation [GO:0001556]; polyuridylation-dependent mRNA catabolic process [GO:1990074]; pre-miRNA processing [GO:0031054]; RNA 3' uridylation [GO:0071076]; RNA 3'-end processing [GO:0031123]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]	GO:0000289; GO:0001556; GO:0003723; GO:0005654; GO:0005737; GO:0005829; GO:0008270; GO:0010526; GO:0010586; GO:0016779; GO:0031054; GO:0031123; GO:0035198; GO:0050265; GO:0070569; GO:0071076; GO:1990074	P02489; P14136; O14908-2; P28799; P04792; Q8WXH2; O60333-2; Q92876; P02545; P19404; P07196; P35240; Q96CV9; P16284; P60891; Q7Z699; P08670; O76024	2.7.7.52	R-HSA-429947;		IPR003604;IPR043519;IPR002058;IPR045100;IPR001878;IPR036875;
ENA	HBXI01003282	HBXI01003282.1	155.113512600405	-1.0629810094048	0.297820650091913	-3.56919847255975	3.58075083533121e-4	0.0358591372673703	ENA	HBXI01003282	sp	Q9Z0U1	ZO2_MOUSE	38.088	617	304	15	2131	485	286	892	2.84e-113	372	reviewed	ZO2_MOUSE	Tight junction protein ZO-2 (Tight junction protein 2) (Zona occludens protein 2) (Zonula occludens protein 2)	Tjp2 Zo2	Mus musculus (Mouse)	1167	cell adhesion molecule binding [GO:0050839]; protein C-terminus binding [GO:0008022]; protein domain specific binding [GO:0019904]; protein tyrosine kinase binding [GO:1990782]; protein-macromolecule adaptor activity [GO:0030674]	bicellular tight junction [GO:0005923]; cell junction [GO:0030054]; cell surface [GO:0009986]; cell-cell contact zone [GO:0044291]; cell-cell junction [GO:0005911]; gap junction [GO:0005921]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; tight junction [GO:0070160]; cell adhesion molecule binding [GO:0050839]; protein C-terminus binding [GO:0008022]; protein domain specific binding [GO:0019904]; protein tyrosine kinase binding [GO:1990782]; protein-macromolecule adaptor activity [GO:0030674]; cell-cell adhesion [GO:0098609]; cell-cell junction organization [GO:0045216]; establishment of endothelial intestinal barrier [GO:0090557]; homotypic cell-cell adhesion [GO:0034109]; intestinal absorption [GO:0050892]; negative regulation of osteoclast development [GO:2001205]; positive regulation of blood-brain barrier permeability [GO:1905605]; protein localization to cell-cell junction [GO:0150105]; regulation of membrane permeability [GO:0090559]; TNFSF11-mediated signaling pathway [GO:0071847]	cell-cell adhesion [GO:0098609]; cell-cell junction organization [GO:0045216]; establishment of endothelial intestinal barrier [GO:0090557]; homotypic cell-cell adhesion [GO:0034109]; intestinal absorption [GO:0050892]; negative regulation of osteoclast development [GO:2001205]; positive regulation of blood-brain barrier permeability [GO:1905605]; protein localization to cell-cell junction [GO:0150105]; regulation of membrane permeability [GO:0090559]; TNFSF11-mediated signaling pathway [GO:0071847]	bicellular tight junction [GO:0005923]; cell junction [GO:0030054]; cell surface [GO:0009986]; cell-cell contact zone [GO:0044291]; cell-cell junction [GO:0005911]; gap junction [GO:0005921]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; tight junction [GO:0070160]	GO:0005634; GO:0005886; GO:0005911; GO:0005921; GO:0005923; GO:0008022; GO:0009986; GO:0019904; GO:0030054; GO:0030674; GO:0034109; GO:0044291; GO:0045216; GO:0050839; GO:0050892; GO:0070160; GO:0071847; GO:0090557; GO:0090559; GO:0098609; GO:0150105; GO:1905605; GO:1990782; GO:2001205			R-MMU-2028269;R-MMU-351906;R-MMU-8980692;R-MMU-9013026;R-MMU-9013106;		IPR008145;IPR008144;IPR027417;IPR001478;IPR036034;IPR036028;IPR001452;IPR005417;IPR005419;IPR035598;
ENA	HBXI01003337	HBXI01003337.1	41.1809348808594	1.11109191683194	0.270394937179978	4.10914467711496	3.97127234710126e-5	0.0110601069516012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENA	HBXI01003546	HBXI01003546.1	9.13882161480631	0.953919718988219	0.264927780159856	3.60067833736662	3.17388041287706e-4	0.0339974908929235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENA	HBXI01003798	HBXI01003798.1	244.127418707899	-3.87911136736441	0.864824577451449	-4.48543146032662	7.27665354072941e-6	0.00381343591686097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENA	HBXI01004256	HBXI01004256.1	16.2200707361019	-2.36937269357517	0.647804376903774	-3.65754350858164	2.54644044479975e-4	0.0300504635347821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENA	HBXI01004265	HBXI01004265.1	27.45371213175	1.04138103388388	0.261060571275676	3.98903989520576	6.63412645080368e-5	0.0149001868644825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENA	HBXI01004523	HBXI01004523.1	15.9362860777856	-23.8391528852982	2.9457488474393	-8.09273095566896	5.83416365527036e-16	5.68690936461133e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENA	HBXI01004928	HBXI01004928.1	14.542851676667	-1.01417143011268	0.28610427032195	-3.54476159678232	3.92968341707883e-4	0.0375539039963899	ENA	HBXI01004928	sp	Q3T906	GNPTA_HUMAN	73.684	152	40	0	78	533	317	468	1.06e-84	274	reviewed	GNPTA_HUMAN	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta (EC 2.7.8.17) (GlcNAc-1-phosphotransferase subunits alpha/beta) (Stealth protein GNPTAB) (UDP-N-acetylglucosamine-1-phosphotransferase subunits alpha/beta) [Cleaved into: N-acetylglucosamine-1-phosphotransferase subunit alpha; N-acetylglucosamine-1-phosphotransferase subunit beta]	GNPTAB GNPTA KIAA1208	Homo sapiens (Human)	1256	calcium ion binding [GO:0005509]; UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity [GO:0003976]	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase complex [GO:0070622]; calcium ion binding [GO:0005509]; UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity [GO:0003976]; carbohydrate phosphorylation [GO:0046835]; lysosome organization [GO:0007040]; N-glycan processing to lysosome [GO:0016256]; secretion of lysosomal enzymes [GO:0033299]	carbohydrate phosphorylation [GO:0046835]; lysosome organization [GO:0007040]; N-glycan processing to lysosome [GO:0016256]; secretion of lysosomal enzymes [GO:0033299]	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase complex [GO:0070622]	GO:0000139; GO:0003976; GO:0005509; GO:0005794; GO:0007040; GO:0016256; GO:0033299; GO:0046835; GO:0070622	Q8WTP8; Q86YD7; Q9UJJ9; P25786; Q96FJ0; P15622-3	2.7.8.17			IPR010506;IPR018247;IPR002048;IPR041536;IPR035993;IPR000800;IPR031358;IPR021520;IPR031357;IPR031356;
ENA	HBXI01005080	HBXI01005080.1	43.2370995494584	1.18906895166578	0.270239243505394	4.4000602438115	1.08220829546028e-5	0.00478938837851008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENA	HBXI01005128	HBXI01005128.1	50.5295594153775	1.17885806506745	0.317380304224131	3.71433907327454	2.03735470396823e-4	0.026692632677958	ENA	HBXI01005128	sp	Q21653	OSG1_CAEEL	29.896	863	529	20	4099	1601	364	1180	1.68e-97	347	reviewed	OSG1_CAEEL	Rho guanine nucleotide exchange factor osg-1 (Oxidative stress-susceptible GEF1)	osg-1 R02F2.2/R02F2.3	Caenorhabditis elegans	1182	guanyl-nucleotide exchange factor activity [GO:0005085]	guanyl-nucleotide exchange factor activity [GO:0005085]; actin cytoskeleton organization [GO:0030036]; intracellular signal transduction [GO:0035556]; response to oxidative stress [GO:0006979]	actin cytoskeleton organization [GO:0030036]; intracellular signal transduction [GO:0035556]; response to oxidative stress [GO:0006979]		GO:0005085; GO:0006979; GO:0030036; GO:0035556			R-CEL-193648;R-CEL-416482;R-CEL-8980692;		IPR039919;IPR035899;IPR000219;IPR001331;IPR011047;
ENA	HBXI01005204	HBXI01005204.1	25.9214253727753	0.969742385865164	0.195792197416586	4.95291640147359	7.31093890448144e-7	7.3685145991157e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENA	HBXI01005329	HBXI01005329.1	43.5851284413702	-1.58042773545617	0.415610955409484	-3.8026613949554	1.43149948990774e-4	0.022578777391302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENA	HBXI01005422	HBXI01005422.1	33.8883501166441	-0.735654061821106	0.213696966041073	-3.44251055805683	5.76341366702405e-4	0.0452330523838032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENA	HBXI01005653	HBXI01005653.1	155.643326445738	-2.69007007908542	0.670503491795734	-4.01201501856598	6.02026690117422e-5	0.0139773612850058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
